Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
Q9BUJ2;HNRNPUL1;9606;Q13625;TP53BP2;9606;0.454;25416956 
Q9BUZ4;TRAF4;9606;Q13625;TP53BP2;9606;0.454;25416956 
Q9H3D4;TP63;9606;Q13625;TP53BP2;9606;0.309;18275817 
Q9UQB8;BAIAP2;9606;Q13625;TP53BP2;9606;0.454;25416956 
Q16611;BAK1;9606;P04637;TP53;9606;0.702;25408501 15077116 21712378 27818144 
P51813;BMX;9606;P04637;TP53;9606;0.21;16186805 
Q16821;PPP1R3A;9606;Q13625;TP53BP2;9606;0.126;24366813 
Q96KQ4;PPP1R13B;9606;Q16821;PPP1R3A;9606;0.126;24366813 
Q14457;BECN1;9606;P04637;TP53;9606;0.21;28128446 
Q16881;TXNRD1;9606;P04637;TP53;9606;0.21;15824742 
Q15139;PRKD1;9606;P04637;TP53;9606;0.309;12628923 
Q1NZ49;NS;480019;P04637;TP53;9606;0.21;23954291 
Q14676;MDC1;9606;P04637;TP53;9606;0.21;14519663 
Q14695;KIAA0087;9606;P04637;TP53;9606;0.126;16169070 
Q14764;MVP;9606;P04637;TP53;9606;0.183;24722188 
Q27272;E(Y)1;7227;P04637;TP53;9606;0.033;7809597 
P52815;MRPL12;9606;O75414;NME6;9606;0.126;28514442 
Q2TBE0;CWF19L2;9606;Q13625;TP53BP2;9606;0.454;25416956 
P43246;MSH2;9606;P04637;TP53;9606;0.507;12101417 15064730 
P43356;MAGEA2B;9606;P04637;TP53;9606;0.569;26468294 16847267 
Q13625;TP53BP2;9606;P40222;TXLNA;9606;0.454;25416956 
P45984;MAPK9;9606;P04637;TP53;9606;0.569;12384512 9393873 22366412 
P46100;ATRX;9606;P04637;TP53;9606;0.21;23329831 
Q13625;TP53BP2;9606;P46108;CRK;9606;0.126;17474147 
P46821;MAP1B;9606;P04637;TP53;9606;0.569;18656471 
P48643;CCT5;9606;P04637;TP53;9606;0.523;22653443 23443559 25144556 16169070 
P49720;PSMB3;9606;P04637;TP53;9606;0.309;20080206 
P49792;RANBP2;9606;P04637;TP53;9606;0.309;22194619 
P49847;TAF6;7227;P04637;TP53;9606;0.033;7809597 
P49848;TAF6;9606;P04637;TP53;9606;0.583;7809597 20096117 
P42858;HTT;9606;P04637;TP53;9606;0.659;10823891 
